逆順,FALSE,,名前,攻撃,防衛,,A1,A2,A3,A4,SP,SP,D1,D2,D3,D4,SP,SP,取得用,ST判定・攻撃,ST判定・防衛,SP判定・攻撃,SP判定・防衛,勝敗,マッチアップ,ユニーク,試合数,勝ち,負け,スタッツ,勝率,構築,攻撃/防衛のみ集計,試合数,,,,スタッツ,勝率,構築,簡易表示,
SUP,"役割, 射程","射程, 役割",アズサ（水着）,アズサ（水着）,A650,TRUE,ハルナ（正月）,シュン,シロコ＊テラー,ホシノ,シロコ（水着）,アヤネ（水着）,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"ハルナ（正月）,シュン,シロコ＊テラー,ホシノ,シロコ（水着）,アヤネ（水着）,T350,T350,T350,シロコ＊テラー,.,.","ハルナ（正月）,シュン,シロコ＊テラー,ホシノ,シロコ（水着）,アヤネ（水着）,T350,T350,T350,シロコ＊テラー,.,.",5,4,1,4 - 1,0.8,"サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","T350,T350,T350,シロコ＊テラー",21,3,0,3,0 - 3,0,"スミレ,ホシノ,シュン,シロコ＊テラー,シロコ（水着）,ユズ（メイド）,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
回復,"役割, 射程","役割, 射程",アスナ,アスナ,A650,TRUE,シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,イオリ,シュン,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,A650,シュン,T350,.,.","シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,A650,シュン,T350,.,.",4,3,1,3 - 1,0.75,"シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",28,3,0,3,0 - 3,0,"ツルギ,ホシノ,シロコ＊テラー,スミレ,シロコ（水着）,アヤネ（水着）,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",FALSE
,,,アスナ（バニーガール）,アスナ（バニーガール）,SUP650,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,シロコ＊テラー,イオリ,シュン,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,シロコ＊テラー,A650,シュン,T350,.,.","シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,シロコ＊テラー,A650,シュン,T350,.,.",4,3,1,3 - 1,0.75,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.","T350,A650,T350,シロコ＊テラー",13,3,3,0,3 - 0,1,"シロコ＊テラー,ハルカ,マリナ,ネル（制服）,シロコ（水着）,サキ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",TRUE
,,,アスナ（制服）,アスナ（制服）,SUP650,TRUE,シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ミノリ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.",4,3,1,3 - 1,0.75,"シロコ＊テラー,ハルカ,マリナ,モモイ,シロコ（水着）,サキ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",28,4,3,1,3 - 1,0.75,"シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",TRUE
,,,アツコ,アツコ,T350,TRUE,シロコ＊テラー,マリナ,レイサ,イオリ,シロコ（水着）,ミノリ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,マリナ,レイサ,イオリ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,マリナ,レイサ,イオリ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.",4,3,1,3 - 1,0.75,"シロコ＊テラー,ホシノ,イオリ,ハルカ,シロコ（水着）,ユズ（メイド）,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",61,4,3,1,3 - 1,0.75,"シロコ＊テラー,ハルカ,マリナ,モモイ,シロコ（水着）,サキ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",TRUE
,,,アツコ（水着）,アツコ（水着）,.,TRUE,イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,ホシノ,イオリ,マリナ,シロコ＊テラー,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,A650,T350,シロコ＊テラー,.,.","イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,A650,T350,シロコ＊テラー,.,.",7,5,2,5 - 2,0.7142857143,"ツルギ,マリナ,イオリ,スミレ,シロコ（水着）,ユズ（メイド）,シロコ＊テラー,T350,T350,A650,.,.","シロコ＊テラー,T350,T350,A650",13,3,2,1,2 - 1,0.6666666667,"シュン,ホシノ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",TRUE
,,,アヤネ,アヤネ,.,TRUE,スミレ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"スミレ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","スミレ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",12,8,4,8 - 4,0.6666666667,"コトリ（応援団）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",61,4,2,2,2 - 2,0.5,"シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",TRUE
,,,アヤネ（水着）,アヤネ（水着）,.,FALSE,シロコ＊テラー,マリナ,ホシノ,スミレ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,ユズ（メイド）,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,マリナ,ホシノ,スミレ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","シロコ＊テラー,マリナ,ホシノ,スミレ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",3,2,1,2 - 1,0.6666666667,"アズサ,シロコ＊テラー,マリナ,イオリ,シロコ（水着）,ナギサ,T350,A650,T350,シロコ＊テラー,.,.","T350,A650,T350,シロコ＊テラー",13,4,2,2,2 - 2,0.5,"シロコ＊テラー,ホシノ,レイサ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",TRUE
,,,アリス,アリス,A850,FALSE,シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,ユズ（メイド）,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",3,2,1,2 - 1,0.6666666667,"シュン,ホシノ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",28,3,1,2,1 - 2,0.3333333333,"シロコ＊テラー,イオリ,マリナ,ホシノ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",TRUE
,,,アリス（メイド）,アリス（メイド）,A850,TRUE,シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,ヒビキ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","イオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,A750,T350,シュン,.,.",3,2,1,2 - 1,0.6666666667,"マリナ,シロコ＊テラー,ホシノ,ハスミ（体操服）,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",61,3,0,3,0 - 3,0,"ホシノ,イオリ,シュン,シロコ＊テラー,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,シュン,T350,.,.","T350,シロコ＊テラー,シュン,T350",TRUE
,,,アル,アル,A750,TRUE,イオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,ホシノ,ハルナ（正月）,マリナ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"イオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,A750,T350,シュン,.,.","シロコ＊テラー,ホシノ,イオリ,ハルカ,シロコ（水着）,ヒビキ,T350,A750,T350,シュン,.,.",3,2,1,2 - 1,0.6666666667,"イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,A650,T350,T350,.,.","シロコ＊テラー,A650,T350,T350",3,4,4,0,4 - 0,1,"スミレ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","T350,T350,T350,シロコ＊テラー",FALSE
,,,アル（ドレス）,アル（ドレス）,SUP750,TRUE,シロコ＊テラー,ホシノ,イオリ,ハルカ,シロコ（水着）,ヒビキ,ホシノ,ハルナ（正月）,マリナ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,イオリ,ハルカ,シロコ（水着）,ヒビキ,T350,A750,T350,シュン,.,.","イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ウタハ,T350,A750,T350,シュン,.,.",3,2,1,2 - 1,0.6666666667,"アズサ,ハルカ,マリナ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",61,5,4,1,4 - 1,0.8,"サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","T350,T350,T350,シロコ＊テラー",FALSE
,,,アル（正月）,アル（正月）,A750,FALSE,イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ウタハ,ホシノ,ハルナ（正月）,マリナ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ウタハ,T350,A750,T350,シュン,.,.","シロコ＊テラー,ホシノ,レイサ,ハルカ,シロコ（水着）,ユズ（メイド）,T350,A750,T350,シュン,.,.",3,2,1,2 - 1,0.6666666667,"シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",61,3,2,1,2 - 1,0.6666666667,"シロコ＊テラー,マリナ,ホシノ,スミレ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","T350,T350,T350,シロコ＊テラー",FALSE
,,,イオリ,イオリ,A650,FALSE,シロコ＊テラー,ホシノ,レイサ,ハルカ,シロコ（水着）,ユズ（メイド）,ホシノ,ハルナ（正月）,マリナ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ホシノ,レイサ,ハルカ,シロコ（水着）,ユズ（メイド）,T350,A750,T350,シュン,.,.","シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,A750,T350,シュン,.,.",3,2,1,2 - 1,0.6666666667,"シロコ＊テラー,ホシノ,レイサ,マリナ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,T350,T350,A650,.,.","シロコ＊テラー,T350,T350,A650",13,4,2,2,2 - 2,0.5,"イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","T350,T350,T350,シロコ＊テラー",FALSE
,,,イオリ（水着）,イオリ（水着）,A750,TRUE,シロコ＊テラー,ホシノ,レイサ,ハルカ,シロコ（水着）,ユズ（メイド）,ホシノ,ハルナ（正月）,マリナ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,レイサ,ハルカ,シロコ（水着）,ユズ（メイド）,T350,A750,T350,シュン,.,.","シロコ＊テラー,ユウカ,イオリ,ハルカ,シロコ（水着）,ヒビキ,T350,A750,T350,シュン,.,.",3,2,1,2 - 1,0.6666666667,"イオリ,ホシノ,シロコ＊テラー,マリナ,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A450,.,.","シロコ＊テラー,T350,T350,A450",3,5,1,4,1 - 4,0.2,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,T350,T350,T350,シロコ＊テラー,.,.","T350,T350,T350,シロコ＊テラー",FALSE
,,,イズナ,イズナ,A450,TRUE,シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,ホシノ,ハルナ（正月）,マリナ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,A750,T350,シュン,.,.","シロコ＊テラー,ハルナ（正月）,シュン,ホシノ,シロコ（水着）,ウタハ,T350,T350,シロコ＊テラー,T350,.,.",3,2,1,2 - 1,0.6666666667,"イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ウタハ,T350,T350,シロコ＊テラー,A650,.,.","T350,T350,シロコ＊テラー,A650",14,5,5,0,5 - 0,1,"サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,T350,シロコ＊テラー,A650,.,.","T350,T350,シロコ＊テラー,A650",TRUE
,,,イズナ（水着）,イズナ（水着）,A450,FALSE,シロコ＊テラー,ユウカ,イオリ,ハルカ,シロコ（水着）,ヒビキ,ホシノ,ハルナ（正月）,マリナ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ユウカ,イオリ,ハルカ,シロコ（水着）,ヒビキ,T350,A750,T350,シュン,.,.","シロコ＊テラー,ハルカ,マリナ,ネル（制服）,シロコ（水着）,ウタハ,T350,T350,シロコ＊テラー,T350,.,.",3,2,1,2 - 1,0.6666666667,"イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.","T350,シロコ＊テラー,T350,A650",61,3,2,1,2 - 1,0.6666666667,"イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ウタハ,T350,T350,シロコ＊テラー,A650,.,.","T350,T350,シロコ＊テラー,A650",TRUE
,,,イズミ,イズミ,A750,TRUE,シロコ＊テラー,ハルナ（正月）,シュン,ホシノ,シロコ（水着）,ウタハ,マリナ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ハルナ（正月）,シュン,ホシノ,シロコ（水着）,ウタハ,T350,T350,シロコ＊テラー,T350,.,.","ホシノ,ハルナ（正月）,マリナ,シュン,シロコ（水着）,ナギサ,シロコ＊テラー,T350,A650,T350,.,.",3,2,1,2 - 1,0.6666666667,"シロコ＊テラー,エイミ,ハルカ,イオリ,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A650,.,.","シロコ＊テラー,T350,T350,A650",13,3,2,1,2 - 1,0.6666666667,"サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,アヤネ（水着）,T350,T350,シロコ＊テラー,A650,.,.","T350,T350,シロコ＊テラー,A650",TRUE
